Galaxy,realization,Inc_nominal_deg,Inc_perturbed_deg,e_Inc_deg,vobs_factor,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
UGC05721,16,61.0,57.3570085147375,5.0,1.0386816596016573,ok,0,23,539216629.6706463,1.0039433438958902,8.482019660970852,0.40390569814146915,14.753008092829152,,,,,,,,
UGC05986,16,90.0,86.38870193221247,3.0,1.0019896232824848,ok,1,15,77765962.57248248,3.058579952083561,2.1610164606858473,0.21610164606858473,15.701267466196898,3.8131444431492136,4226881249.860142,1.0470932110185174,0.27460098263514515,,,,
UGC06787,16,66.0,66.16491174165427,3.0,0.998724292704184,ok,2,54,4397386.072623609,51.90988933043169,312.5398015421786,6.794343511786492,344.45167391469283,4.670670163609554,31985570438.888165,1.7898300664825801,0.38320626458010826,8.125033321069832,41279237765.308975,0.8541292531157586,0.10512316926760547
UGC06667,16,89.0,88.00143158170437,1.0,1.000456274008982,ok,0,9,60109644.29364813,3.09541914427341,0.6595563328592345,0.09422233326560493,5.054005487531674,,,,,,,,
UGC06818,16,75.0,70.39075990978536,3.0,1.0253953281825658,ok,0,8,8489918.15226679,18.347382069022593,6.989965551837129,1.1649942586395214,11.1488486351968,,,,,,,,
UGC06930,16,32.0,32.6875062492319,5.0,0.9812287414582623,ok,0,10,48993977.799657404,3.690417198741297,1.4249656269061228,0.17812070336326535,6.030135812894215,,,,,,,,
UGC06983,16,49.0,48.20927569995353,1.0,1.0122396478996305,ok,0,17,81471552.5572087,3.1864401408666163,6.392823136800312,0.4261882091200208,12.059249824912744,,,,,,,,
UGC07125,16,90.0,88.89532210148231,3.0,1.0001858931305287,ok,0,13,9604004.313868783,4.759317754860876,2.7100400509229248,0.24636727735662953,7.839938765845998,,,,,,,,
UGC07151,16,90.0,87.73099868517806,3.0,1.0007846538555099,ok,1,11,20411863.833275326,4.238620750707129,0.6258499174474434,0.10430831957457391,12.615326281439296,1.3128097012798707,915824230.5498258,0.3999527675649758,0.30465403110219097,,,,
NGC4088,14,69.0,68.5339485942301,2.0,1.0031654363479412,ok,0,9,1998436.1963858919,199.99999999992673,1.562709090169437,0.223244155738491,5.957158244841876,,,,,,,,
NGC6503,16,74.0,76.9830775759463,2.0,0.9866141448770012,ok,1,31,17457689.57355941,6.938788470318672,19.990280444985032,0.768856940191732,37.16021646741076,3.2325857869566876,4288702020.3248405,0.5928912322167497,0.18341082690180546,,,,
UGC05716,15,54.0,59.021094221362034,10.0,0.9436175661313287,ok,1,12,21409237.40871102,3.887702849449488,6.522560565841127,0.9317943665487325,18.947093814781127,0.9954468207120057,322564590.16025746,0.1608190966119327,0.1615546840532424,,,,
NGC0300,16,42.0,41.96252665011885,10.0,1.0007271197563838,ok,0,25,45970853.94749931,3.7867077475234567,13.421039094667313,0.5835234388985788,19.858790744403713,,,,,,,,
UGC07261,15,30.0,31.09643936185602,10.0,0.9680914815795647,ok,0,7,140649170.76871142,1.492116141706801,1.904160527178116,0.3808321054356232,5.795980825288742,,,,,,,,
UGC07603,16,78.0,76.59750354480465,3.0,1.0055324941851431,ok,0,12,132007408.04022789,1.5306664983733043,2.02482052933028,0.202482052933028,6.994633828906281,,,,,,,,
UGC04278,16,90.0,87.34069171047325,3.0,1.0010780827616537,ok,1,25,75332780.55063352,1.363798496720583,0.8855167338193749,0.044275836690968746,16.97989585816038,4.724391905231131,7306349935.005766,0.9771011025696147,0.20682050138298425,,,,
UGC08286,16,90.0,89.0,3.0,1.0001523280439077,ok,1,17,38147581.27966955,3.5416803997269155,0.33770839607826836,0.028142366339855698,14.503775116359348,1.345610694171347,1292876504.765684,0.4312267502200216,0.32046917588268675,,,,
